#==========================================
   BEGIN_DATAGAS
#===  ONLY 120 Characters per Line
#------------------------------------------             
#  Name          MolMass  Alpha         Dg 
#                [g/mol]
#
ACO3              75.0    0.019         0.00001
ADDC             125.0    0.0           0.0
ADDT             109.0    0.0           0.0
ADDX             123.0    0.0           0.0
ALD               44.0    0.0           0.0
CH3CHO            44.0    0.03          0.0000122 
C2H5CHO           58.0    0.03          0.0000100
CH3CH2CH2CHO      72.0    0.03          0.0000087 
API              136.0    0.0           0.0
APIPX            185.0    0.0           0.0
BR                80.0    0.05          0.0000129
BR2              160.0    0.08          0.00001
BRCH2CH2O        124.0    0.0           0.0
BRCH2CH2O2       140.0    0.0           0.0
BRCH2CH2OH       125.0    0.0           0.0
BRCH2CHO         123.0    0.0           0.0
BRCH2CO3         154.0    0.019         0.0000084
BRCH2CO3H        155.0    0.0           0.0
BRCH2COOH        139.0    3.22e-2       0.0000084
BRCH2O           110.0    0.0           0.0
BRCH2O2          126.0    0.0           0.0
BRCH2O2H         127.0    0.0           0.0
BRCH2OH          111.0    0.0           0.0
BRCHO            109.0    0.02          0.0000102
BRCL             115.5    0.33          0.0000105
BRCO             108.0    0.0           0.0
BRNO2            126.0    0.01          0.0000106
BRNO3            142.0    0.1           0.0000101
BRO               96.0    0.06          0.0000119
BRO2             112.0    0.0           0.0
C2H5I            156.0    0.0           0.0
C3H7I            170.0    0.0           0.0
CBR3NO4          330.0    0.0           0.0
CBR3O            268.0    0.0           0.0
CBR3O2           284.0    0.0           0.0
CBR3OH           269.0    0.0           0.0
CCL3CH2O         148.5    0.0           0.0
CCL3CH2O2        164.5    0.0           0.0
CCL3CH2OH        149.5    0.0           0.0
CCL3CH3          133.5    0.0           0.0
CCL3CHO          147.5    0.0           0.0
CCL3CO3          178.5    0.0           0.0
CCL3NO4          196.5    0.0           0.0
CCL3O            134.5    0.0           0.0
CCL3O2           150.5    0.0           0.0
CCL3OH           135.5    0.0           0.0
CCL3PAN          212.5    0.0           0.0
CH2BR2           174.0    0.0           0.0
CH2BRPAN         188.0    0.0           0.0
CH2CL2            85.0    0.0           0.0
CH2CLPAN         143.0    0.0           0.0
CH2I2            268.0    0.0           0.0
CH2ICL           176.5    0.0           0.0
CH2IBR           221.0    0.0           0.0
CH2IPAN          235.0    0.0           0.0
