#==========================================
   BEGIN_DATAGAS
#===  ONLY 120 Characters per Line
#------------------------------------------             
#  Name          MolMass  Alpha         Dg 
#                [g/mol]
#
ACID             179.0     0.0      0.0
ACO3              75.0    0.019         0.00001
ADDC             125.0    0.0           0.0
ADDT             109.0    0.0           0.0
ADDX             123.0    0.0           0.0
ALD               44.0    0.0           0.0
ALKM             136.0     0.0      0.0
AP104       173.0     0.0      0.0
AP201            232.0     0.0      0.0
AP202       213.0     0.0      0.0
CH3CHO            44.0    0.03          0.0000122 
C2H5CHO           58.0    0.03          0.0000100
CH3CH2CH2CHO      72.0    0.03          0.0000087 
API              136.0    0.0           0.0
APIPX            185.0    0.0           0.0
BPIN       136.0     0.0      0.0 
BR2              160.0    0.08          0.00001
BRCL             115.0    0.33          0.0000119
BRNO2            126.0    0.01          0.0000144
CH3OH             32.0    0.0271        0.0000116
CH4               16.0    5.0e-5        0.0000141
CL2               71.0    0.08          0.0000128
CLNO2             81.0    0.01          0.0000144
CO                28.0    0.0           0.0
CO2               44.0    1.5e-4        0.0000155
CSL              108.0    0.0           0.0
CSLPX            157.0    0.0           0.0
DCB               87.0    0.023         0.0000086
DIEN              54.0    0.0           0.0
ETE               28.0    1.0e-4        0.0000101
ETEPX             77.0    8.2e-3        0.0000082
ETH               30.0    1.0e-4        0.0000095
ETHPX             61.0    8.2e-3        0.0000108
ETOH              46.0    0.0176        0.0000095
GLY               58.0    0.023         0.0000115
H         1.0     0.0      0.0
H2                 2.0    0.0           0.0
H2O2              34.0    0.1532        0.0000146
HC3               44.0    0.0           0.0
HC3PX             75.0    0.0           0.0
HC5               72.0    0.0           0.0
CH3CH2CH2OH       60.0    0.011         0.0000097
CH3CHOHCH3        60.0    0.013         0.0000097
CH3CH2CH2CH2OH    74.0    0.01          0.0000085
CH3CH2CHOHCH3     74.0    0.01          0.0000085
HC5PX            103.0    0.0           0.0
HC8              114.0    0.0           0.0
CH2OHCH2OH        62.0    0.04          0.0000106
HC8PX            145.0    0.0           0.0
HCHO              30.0    0.02          0.0000164
