#==========================================
   BEGIN_DATAGAS
#===  ONLY 120 Characters per Line
#------------------------------------------             
#  Name   MolMass   Alpha        Dg 
#         [g/mol]
#
ACO3      75.0    0.019         0.00001
ADDC     125.0    0.0           0.0
ADDT     109.0    0.0           0.0
ADDX     123.0    0.0           0.0
ALD       44.0    0.03          0.0000122
API      136.0    0.0           0.0
APIPX    185.0    0.0           0.0
BR2      160.0    0.08          0.00001
CH3OH     32.0    0.0271        0.0000116
CH4       16.0    5.0e-5        0.0000141
CL2       71.0    0.08          0.0000128
CO        28.0    0.0           0.0
CO2       44.0    1.5e-4        0.0000155
CSL      108.0    0.0           0.0
CSLPX    157.0    0.0           0.0
DCB       87.0    0.0           0.0
DIEN      54.0    0.0           0.0
ETE       28.0    1.0e-4        0.0000101
ETEPX     77.0    8.2e-3        0.0000082
ETH       30.0    1.0e-4        0.0000095
ETHPX     61.0    8.2e-3        0.0000108
ETOH      46.0    0.0176        0.0000095
GLY       58.0    0.023         0.0000115
H2         2.0    0.0           0.0
H2O2      34.0    0.1532        0.0000146
HC3       44.0    0.0           0.0
HC3PX     75.0    0.0           0.0
HC5       72.0    0.0           0.0
HC5PX    103.0    0.0           0.0
HC8      114.0    0.0           0.0
HC8PX    145.0    0.0           0.0
HCHO      30.0    0.02          0.0000164
HCL       36.0    0.1158        0.0000189
HKET      74.0    0.0           0.0
HNO3      63.0    0.0868        0.0000132
HNO4      79.0    0.1           0.0000130
HO        17.0    0.05          0.0000153
HO2       33.0    0.01          0.0000104
HONO      47.0    0.05          0.000013
ISO       68.0    0.0           0.0
ISOPX    117.0    0.0           0.0
KET       72.0    0.0           0.0
KETPX    103.0    0.0           0.0
LIMN     136.0    0.0           0.0
LIMPX    185.0    0.0           0.0
MACR      70.0    0.0           0.0
MGLY      72.0    0.0           0.0
MO2       47.0    6.7581e-3     0.0000135
N2O5     108.0    0.018         0.000011
NH3       17.0    0.091         0.000023
NO        30.0    0.001         0.0000224
NO2       46.0    1.5e-3        0.0000192
NO3       62.0    4.0e-3        0.00001
O1D       16.0    0.0           0.0
O3        48.0    0.1           0.0000148
O3PX      16.0    0.0           0.0
OLI       68.0    0.0           0.0
OLIPX    117.0    0.0           0.0
OLND     136.0    0.0           0.0
OLNN     136.0    0.0           0.0
OLT       42.0    0.0           0.0
